date,name,result
2015,Margaret Cullen,17:31
2022,Greta Hammer,17:52
2014,Sarah Armstrong,17:57
2015,Madeline Terry,18:47
2022,Taylor Partridge,18:50
2012,Caroline Turner,18:57
2013,Kaleigh Hughes,18:57
2021,Olivia Hunninghake,18:57
2018,Ana Keene,19:04
2018,Elena Oberle,19:06
