season,sport,sex,division,school,wins,losses,ties
fall,Swimming & Diving,F,Carey,Brookline,5,4,0
fall,Swimming & Diving,F,Carey,Framingham,2,7,0
fall,Swimming & Diving,F,Carey,Natick,2,7,0
fall,Swimming & Diving,F,Carey,Newton North,6,3,0
fall,Swimming & Diving,F,Carey,Wellesley,8,1,0
fall,Swimming & Diving,F,Herget,Braintree,4,5,0
fall,Swimming & Diving,F,Herget,Milton,8,1,0
fall,Swimming & Diving,F,Herget,Needham,8,1,0
fall,Swimming & Diving,F,Herget,Walpole,1,9,0
fall,Swimming & Diving,F,Herget,Weymouth,0,9,0
