season,sport,sex,division,school,wins,losses,ties
fall,Cross Country,M,Carey,Brookline,7,2,
fall,Cross Country,M,Carey,Framingham,7,2,
fall,Cross Country,M,Carey,Natick,6,3,
fall,Cross Country,M,Carey,Newton North,9,0,
fall,Cross Country,M,Carey,Wellesley,5,4,
fall,Cross Country,M,Herget,Braintree,0,9,
fall,Cross Country,M,Herget,Milton,2,7,
fall,Cross Country,M,Herget,Needham,4,5,
fall,Cross Country,M,Herget,Walpole,2,7,
fall,Cross Country,M,Herget,Weymouth,3,6,
fall,Cross Country,F,Carey,Brookline,8,1,
fall,Cross Country,F,Carey,Framingham,0,9,
fall,Cross Country,F,Carey,Natick,4,5,
fall,Cross Country,F,Carey,Newton North,7,2,
fall,Cross Country,F,Carey,Wellesley,3,6,
fall,Cross Country,F,Herget,Braintree,1,8,
fall,Cross Country,F,Herget,Milton,5,4,
fall,Cross Country,F,Herget,Needham,6,3,
fall,Cross Country,F,Herget,Walpole,2,7,
fall,Cross Country,F,Herget,Weymouth,9,0,
fall,Field Hockey,F,Carey,Brookline,4,7,2
fall,Field Hockey,F,Carey,Framingham,2,10,1
fall,Field Hockey,F,Carey,Natick,7,3,3
fall,Field Hockey,F,Carey,Newton North,6,5,2
fall,Field Hockey,F,Carey,Wellesley,10,2,1
fall,Field Hockey,F,Herget,Braintree,7,4,2
fall,Field Hockey,F,Herget,Milton,2,11,
fall,Field Hockey,F,Herget,Needham,7,3,3
fall,Field Hockey,F,Herget,Walpole,13,0,
fall,Field Hockey,F,Herget,Weymouth,0,13,
fall,Football,M,Carey,Brookline,1,3,
fall,Football,M,Carey,Framingham,2,2,
fall,Football,M,Carey,Natick,4,0,
fall,Football,M,Carey,Newton North,0,4,
fall,Football,M,Carey,Wellesley,3,1,
fall,Football,M,Herget,Braintree,2,2,
fall,Football,M,Herget,Milton,4,0,
fall,Football,M,Herget,Needham,0,4,
fall,Football,M,Herget,Walpole,3,1,
fall,Football,M,Herget,Weymouth,1,3,
fall,Golf,M,Carey,Brookline,6,3,
fall,Golf,M,Carey,Framingham,0,9,
fall,Golf,M,Carey,Natick,6,3,
fall,Golf,M,Carey,Newton North,2,7,
fall,Golf,M,Carey,Wellesley,9,0,
fall,Golf,M,Herget,Braintree,4,5,
fall,Golf,M,Herget,Milton,4,5,
